Year,Age of Car,Brand,Model,Car Name,Kilometer,Fuel,Price,Transmission,Location,Engine
2010,14,Toyota,Avanza,Avanza G 1.3L MT,72045,Bensin,45000000,Manual,Bandar Lampung,1329
2010,14,Toyota,Avanza,Avanza G 1.5L MT,72451,Bensin,45000000,Manual,Bandar Lampung,1329
2011,13,Toyota,Avanza,Avanza VVTI S 1.5L AT,74215,Bensin,45000000,Manual,Banjarnegara,1329
2010,14,Toyota,Avanza,Avanza G 1.5L MT,75421,Bensin,45000000,Manual,Banjarnegara,1329
2010,14,Toyota,Avanza,Avanza G 1.3L MT,94217,Bensin,45000000,Manual,Semarang,1329
2011,13,Toyota,Avanza,Avanza G 1.5L MT,84217,Bensin,45000000,Manual,Malang,1329
2010,14,Toyota,Avanza,Avanza G 1.3L MT,75451,Bensin,45000000,Manual,Banda Aceh,1329
2010,14,Toyota,Avanza,Avanza G 1.3L MT,72045,Bensin,45000000,Manual,Bandar Lampung,1329
2010,14,Toyota,Avanza,Avanza G 1.5L MT,72451,Bensin,45000000,Manual,Bandar Lampung,1329
2011,13,Toyota,Avanza,Avanza VVTI S 1.5L AT,74215,Bensin,45000000,Manual,Banjarnegara,1329
2010,14,Toyota,Avanza,Avanza G 1.5L MT,75421,Bensin,45000000,Manual,Banjarnegara,1329
2010,14,Toyota,Avanza,Avanza G 1.3L MT,94217,Bensin,45000000,Manual,Semarang,1329
2011,13,Toyota,Avanza,Avanza G 1.5L MT,84217,Bensin,45000000,Automatic,Malang,1329
2010,14,Toyota,Avanza,Avanza G 1.3L MT,75451,Bensin,45000000,Manual,Banda Aceh,1329
2011,13,Toyota,Avanza,Avanza G 1.5L MT,72458,Bensin,45000000,Manual,Surabaya,1329
2011,13,Toyota,Avanza,Avanza G 1.5L MT,72458,Bensin,45000000,Manual,Surabaya,1329
2016,8,Toyota,Innova,Innova 2.5 G AT DIESEL,89000,Diesel,45000000,Manual,Denpasar,1998
2012,12,Toyota,Innova,Innova 2.5 G AT DIESEL,45000,Diesel,45000000,Automatic,Semarang,1998
2016,8,Toyota,Innova,Innova 2.7 V AT,2547,Diesel,45000000,Manual,Surabaya,1998
2005,19,Toyota,Innova,Innova 2.0 V MT,235000,Bensin,45000000,Manual,Semarang,1998
2011,13,Toyota,Innova,Innova 2.0 V AT,92000,Bensin,45000000,Automatic,Bekasi,1998
2011,13,Honda,Jazz,Jazz  1.5L RS AT,43215,Bensin,45000000,CVT,Balikpapan,1497
2010,14,Honda,Jazz,Jazz  1.5L RS MT,78676,Bensin,45000000,CVT,Surabaya,1497
2018,6,Honda,Jazz,JazzS CVT,50000,Bensin,45000000,Manual,Surabaya,1497
2013,11,Honda,Jazz,Jazz  1.5L RS MT,60000,Bensin,45000000,CVT,Padang,1497
2010,14,Honda,CR-V,CR-V  2.0L AT,106094,Bensin,45000000,Automatic,Bekasi,1498
2015,9,Honda,Mobilio,Mobilio RS CVT,65881,Bensin,45000000,CVT,Balikpapan,1496
2016,8,Daihatsu,Xenia,Xenia 1.3 R MT,28370,Bensin,45000000,Manual,Medan,1329
2015,9,Daihatsu,Xenia,Xenia 1.5 R MT,57842,Bensin,45000000,Manual,Banda Aceh,1498
2014,10,Toyota,Agya,Agya.2L GR Sport MT,12345,Bensin,45000000,Automatic,Palembang,1198
2017,7,Toyota,Agya,Agya  1.2 G MT,74083,Bensin,45000000,Automatic,Jakarta Selatan,1197
2013,11,Toyota,Agya,Agya TRD 1.0L MT,83000,Bensin,45000000,Automatic,Bogor,1197
2015,9,Toyota,Agya,Agya  1.0 G AT,45000,Bensin,45000000,Automatic,Batam,1197
2015,9,Toyota,Agya,Agya TRD 1.0L MT,54271,Bensin,45000000,Manual,Serang,1197
2016,8,Toyota,Rush,Rush.5L TRD AT,2547,Diesel,45000000,Automatic,Tangerang,1496
2017,7,Daihatsu,Terios,Terios R AT,50000,Bensin,45000000,Automatic,Bekasi,1496
2016,8,Daihatsu,Terios,Terios X MT,27450,Bensin,45000000,Automatic,Semarang,1496
2012,12,Daihatsu,Terios,Terios TX ELEGANT 1.5L MT,54231,Bensin,45000000,Manual,Bandung,1496
2018,6,Daihatsu,Ayla,Ayla 1.0L X AT,73036,Bensin,45000000,Manual,Jakarta Pusat,998
2016,8,Daihatsu,Ayla,Ayla 1.0L X AT,50000,Bensin,45000000,Manual,Bandar Lampung,998
2017,7,Daihatsu,Ayla,Ayla 1.2L R AT,67511,Bensin,45000000,Automatic,Balikpapan,1197
2018,6,Daihatsu,Ayla,Ayla 1.2L R MT,32568,Bensin,45000000,Manual,Blitar,1198
2018,6,Daihatsu,Ayla,Ayla 1.2L R MT,32179,Bensin,45000000,CVT,Pekanbaru,1198
2018,6,Daihatsu,Ayla,Ayla 1.2L R MT,32986,Bensin,45000000,CVT,Palembang,1198
2018,6,Daihatsu,Ayla,Ayla 1.2L R MT,32659,Bensin,45000000,Manual,Padang,1198
2015,9,Toyota,Calya,Calya G AT,62000,Bensin,45000000,Manual,Surakarta,1197
2016,8,Honda,Brio,Brio Satya E,46758,Bensin,45000000,Manual,Indramayu,1199
2022,2,Honda,Brio,Brio RS,21000,Bensin,45000000,Manual,Semarang,1199
2017,7,Honda,Brio,Brio i-VTEC E 1.2L AT,85000,Bensin,45000000,Automatic,Surabaya,1199
2015,9,Honda,Brio,Brio E 1.3L MT,26000,Bensin,45000000,Manual,Bandung,1199
2014,10,Toyota,Yaris,Yaris S TRD Sportivo 1.5L AT,54000,Bensin,46000000,Automatic,Denpasar,1497
2014,10,Toyota,Yaris,Yaris S TRD Sportivo 1.5L AT,54000,Bensin,46000000,CVT,Denpasar,1497
2016,8,Toyota,Agya,Agya.0L G AT,60000,Bensin,46000000,Automatic,Bandung,998
2017,7,Daihatsu,Sigra,Sigra 1.2 R MT,32971,Bensin,46000000,Manual,Bandung,1197
2018,6,Suzuki,Ertiga,Ertiga GX 1.4L MT,70000,Bensin,47000000,Manual,Bandung,1462
2013,11,Honda,Jazz,JazzTEC 1.5L AT,73440,Bensin,47000000,CVT,Bandung,1497
2017,7,Honda,Jazz,Jazz  MT,45000,Bensin,47000000,CVT,Denpasar,1497
2017,7,Daihatsu,Xenia,Xenia 1.3 M MT,89000,Bensin,47000000,Manual,Surabaya,1329
2017,7,Daihatsu,Xenia,Xenia 1.5 R MT,50000,Bensin,47000000,Manual,Bogor,1498
2015,9,Toyota,Agya,Agya.2L G AT,84194,Bensin,47000000,Automatic,Bandung,1197
2018,6,Toyota,Agya,Agya 1.0L AT,20000,Bensin,47000000,Manual,Bandung,1197
2019,5,Toyota,Agya,Agya  1.2 G AT,57000,Bensin,47000000,Automatic,Surabaya,1197
2017,7,Toyota,Rush,Rush.5L TRD AT,2547,Diesel,47000000,Automatic,Bogor,1496
2017,7,Toyota,Rush,Rush.5L TRD AT,85000,Diesel,47000000,Automatic,Denpasar,1496
2016,8,Toyota,Rush,Rush.5L TRD AT,89000,Diesel,47000000,Manual,Denpasar,1496
2018,6,Daihatsu,Ayla,Ayla 1.0L X AT,73036,Bensin,47000000,Automatic,Jakarta Barat,998
2017,7,Daihatsu,Ayla,Ayla 1 AT,2547,Bensin,47000000,Manual,Denpasar,998
2017,7,Honda,Brio,Brio Satya E CVT,80000,Bensin,47000000,CVT,Denpasar,1199
2017,7,Honda,Brio,Brio RS CVT,48000,Bensin,47000000,CVT,Bandung,1199
2013,11,Honda,Brio,Brio  RS AT 1.3,47000,Bensin,47000000,Automatic,Surabaya,1199
2020,4,Daihatsu,Sigra,Sigra 1.0 D MT,47000,Bensin,47000000,Automatic,Surabaya,998
2017,7,Daihatsu,Ayla,Ayla 1.2L X AT,35000,Bensin,47500000,Manual,Surabaya,1197
2016,8,Daihatsu,Ayla,Ayla 1.2L X AT,75120,Bensin,47580000,Manual,Surabaya,1197
2011,13,Toyota,Yaris,Yaris  S Limited AT,77432,Bensin,48000000,Automatic,Bandar Lampung,1497
2004,20,Toyota,Avanza,Avanza VVT-i G 1.3L MT,35725,Bensin,48000000,Manual,Denpasar,1329
2004,20,Toyota,Avanza,Avanza VVT-i G 1.3L MT,35725,Bensin,48000000,Manual,Denpasar,1329
2011,13,Toyota,Avanza,Avanza G 1.3L MT,155118,Bensin,48000000,Manual,Medan,1329
2011,13,Toyota,Avanza,Avanza G 1.3L MT,155118,Bensin,48000000,Manual,Medan,1329
2020,4,Honda,Jazz,Jazz  1.5L RS AT,45000,Bensin,48000000,CVT,Tangerang,1497
2018,6,Honda,Jazz,Jazz  1.5L RS AT,89000,Bensin,48000000,CVT,Denpasar,1497
2010,14,Daihatsu,Xenia,Xenia  Xi AT,80000,Bensin,48000000,Manual,Denpasar,1298
2012,12,Daihatsu,Xenia,Xenia 1.3 X MT,95821,Bensin,48000000,Manual,Bekasi,1329
2007,17,Daihatsu,Xenia,Xenia 1.3 M MT,160000,Bensin,48000000,CVT,Bandar Lampung,1329
2017,7,Toyota,Agya,Agya.2L G MT,74083,Bensin,48000000,Manual,Denpasar,1198
2018,6,Daihatsu,Ayla,Ayla 1.0L X MT,35874,Bensin,48000000,Automatic,Medan,998
2014,10,Honda,Brio,Brio 1.2L S AT,4200,Bensin,48000000,Automatic,Medan,1199
2016,8,Honda,Brio,Brio SPORT IVTEC E 1.3L AT,45000,Bensin,48000000,Automatic,Denpasar,1199
2016,8,Daihatsu,Sigra,Sigra 1.2 R MT,27340,Bensin,48000000,Manual,Pekanbaru,1197
2016,8,Daihatsu,Sigra,Sigra 1.2 R AT,28450,Bensin,48500000,Automatic,Medan,1197
2015,9,Toyota,Agya,Agya TRD 1.0L MT,5000,Bensin,49000000,Automatic,Padang,1197
2017,7,Toyota,Rush,Rush.5L TRD AT,98000,Diesel,49000000,Manual,Yogyakarta,1496
2015,9,Suzuki,Ertiga,Ertiga GX MT,58000,Bensin,50000000,Manual,Denpasar,1462
2010,14,Toyota,Yaris,Yaris  S Limited AT,98525,Bensin,50000000,Automatic,Pekanbaru,1497
2013,11,Toyota,Avanza,Avanza G 1.3L MT,95282,Bensin,50000000,Automatic,Palembang,1329
2013,11,Toyota,Avanza,Avanza G 1.3L MT,95282,Bensin,50000000,Manual,Palembang,1329
2009,15,Toyota,Innova,Innova 2.5 G MT DIESEL,168000,Diesel,50000000,Automatic,Bandung,1998
2012,12,Honda,Jazz,JazzS CVT,57258,Bensin,50000000,CVT,Surabaya,1497
2012,12,Honda,Jazz,JazzS CVT,32828,Bensin,50000000,Manual,Majalengka,1497
2012,12,Honda,Jazz,JazzS CVT,62182,Bensin,50000000,Automatic,Semarang,1497
2014,10,Honda,Jazz,JazzS CVT,21000,Bensin,50000000,Automatic,Semarang,1497
2014,10,Honda,Jazz,JazzS CVT,27000,Bensin,50000000,CVT,Surabaya,1497
2014,10,Honda,Jazz,JazzS CVT,60000,Bensin,50000000,Automatic,Palembang,1497
2010,14,Honda,CR-V,CR-V  2.4 Turbo AT,80000,Bensin,50000000,Automatic,Medan,1498
2005,19,Honda,CR-V,CR-V  Standar 1.5L AT,15000,Bensin,50000000,CVT,Semarang,1498
2019,5,Honda,Mobilio,Mobilio E Prestige,35000,Bensin,50000000,Automatic,Palembang,1496
2010,14,Daihatsu,Xenia,Xenia 1.3 M MT,75000,Bensin,50000000,Manual,Semarang,1329
2020,4,Toyota,Agya,Agya.2L GR Sport AT,30000,Bensin,50000000,Manual,Bogor,1197
2014,10,Toyota,Agya,Agya.2L GR Sport MT,3200,Bensin,50000000,Manual,Samarinda,1198
2016,8,Toyota,Agya,Agya 1.0L AT,28310,Bensin,50000000,Automatic,Pekanbaru,1197
